tick,alive,avg_life_credit,action_recharge,action_learn,action_secure,action_create,action_bond,mpi,fpas,mcr,asi
0,12,101.409,0,1,0,10,1,1.0,1.0,0.0,0.3333
1,12,102.209,0,8,0,3,1,1.0,1.0,0.0,0.3333
2,12,102.784,0,2,1,5,4,1.0,1.0,0.0,0.3333
3,12,103.4,0,3,0,5,4,1.0,1.0,0.0,0.3333
4,12,104.025,0,5,1,2,4,1.0,1.0,0.0,0.3333
5,12,104.642,0,4,2,3,3,1.0,1.0,0.0,0.3333
6,12,105.117,0,1,3,3,5,1.0,1.0,0.0,0.3333
7,12,105.675,0,2,3,4,3,1.0,1.0,0.0,0.3333
8,12,106.175,3,1,5,1,2,1.0,1.0,0.0,0.3333
9,12,106.792,5,3,1,1,2,1.0,1.0,0.0,0.3333
10,12,107.35,2,4,1,0,5,1.0,1.0,0.0,0.3333
11,12,107.892,4,1,3,2,2,1.0,1.0,0.0,0.3333
12,12,108.442,1,1,5,4,1,1.0,1.0,0.0,0.3333
13,12,109.05,1,2,2,5,2,1.0,1.0,0.0,0.3333
14,12,109.542,5,1,2,0,4,1.0,1.0,0.0,0.3333
15,12,110.142,4,3,2,1,2,1.0,1.0,0.0,0.3333
16,12,110.8,2,5,3,1,1,1.0,1.0,0.0,0.3333
17,12,111.359,7,1,0,1,3,1.0,1.0,0.0,0.3333
18,12,111.917,2,2,5,2,1,1.0,1.0,0.0,0.3333
19,12,112.559,5,2,2,3,0,1.0,1.0,0.0,0.3333
20,12,112.641,5,2,2,2,1,1.0,1.0,0.0,0.3333
21,12,113.283,3,4,0,2,3,1.0,1.0,0.0,0.3295
22,12,113.941,6,2,1,3,0,1.0,1.0,0.0,0.3261
23,12,114.574,3,4,3,1,1,1.0,1.0,0.0,0.3229
24,12,115.083,4,1,3,1,3,1.0,1.0,0.0,0.32
25,12,115.683,6,2,2,1,1,1.0,1.0,0.0,0.3173
26,12,116.206,5,1,1,2,3,1.0,1.0,0.0,0.3148
27,12,116.652,3,3,1,2,3,1.0,1.0,0.0,0.3125
28,12,117.13,5,4,1,2,0,1.0,1.0,0.0,0.3103
29,12,117.421,3,0,4,3,2,1.0,1.0,0.0,0.3083
30,12,117.761,2,3,5,2,0,1.0,1.0,0.0,0.3065
31,12,118.061,8,1,1,0,2,1.0,1.0,0.0,0.3047
32,12,118.418,1,6,1,2,2,1.0,1.0,0.0,0.303
33,12,118.627,6,1,2,1,2,1.0,1.0,0.0,0.3015
34,12,118.879,6,2,2,2,0,1.0,1.0,0.0,0.3
35,12,119.011,2,3,2,3,2,1.0,1.0,0.0,0.2986
36,12,119.211,4,2,4,1,1,1.0,1.0,0.0,0.2973
37,12,119.331,5,2,1,2,2,1.0,1.0,0.0,0.2961
38,12,119.412,5,2,2,1,2,1.0,1.0,0.0,0.2949
39,12,119.437,2,3,1,5,1,1.0,1.0,0.0,0.2938
40,12,118.348,9,2,0,1,0,1.0,1.0,0.0,0.2927
41,12,118.406,2,2,3,2,3,1.0,1.0,0.0,0.2917
42,12,118.464,5,1,2,2,2,1.0,1.0,0.0,0.2907
43,12,118.539,6,2,1,2,1,1.0,1.0,0.0,0.2898
44,12,118.614,1,6,3,0,2,1.0,1.0,0.0,0.2889
45,12,118.673,6,1,1,3,1,1.0,1.0,0.0,0.288
46,12,118.706,5,1,2,2,2,1.0,1.0,0.0,0.2872
47,12,118.731,2,2,3,3,2,1.0,1.0,0.0,0.2865
48,12,118.756,5,3,3,0,1,1.0,1.0,0.0,0.2857
49,12,118.781,4,2,2,1,3,1.0,1.0,0.0,0.285
50,12,118.831,5,2,1,1,3,1.0,1.0,0.0,0.2843
51,12,118.889,4,2,1,4,1,1.0,1.0,0.0,0.2837
52,12,118.923,3,2,2,3,2,1.0,1.0,0.0,0.283
53,12,118.973,6,4,1,1,0,1.0,1.0,0.0,0.2824
54,12,119.048,4,2,3,2,1,1.0,1.0,0.0,0.2818
55,12,119.106,4,2,4,1,1,1.0,1.0,0.0,0.2812
56,12,119.131,5,1,1,4,1,1.0,1.0,0.0,0.2807
57,12,119.181,3,3,1,2,3,1.0,1.0,0.0,0.2802
58,12,119.256,2,4,3,1,2,1.0,1.0,0.0,0.2797
59,12,119.289,5,3,3,0,1,1.0,1.0,0.0,0.2792
